Dataset,Initial Algorithm,Removal Heuristic,Insertion Algorithm,Optimal Value,Average Processing Time
eil51.tsp,Christofides_Algorithm,Random_Removal,Greedy_Insertion,1658,0.004152012
eil51.tsp,Christofides_Algorithm,Random_Removal,Best_Insertion,1690,0.004156303
eil51.tsp,Christofides_Algorithm,Random_Removal,Cheapest_Insertion,1622,0.004151702
eil51.tsp,Christofides_Algorithm,Random_Removal,Nearest_Insertion,1572,0.004281306
eil51.tsp,Christofides_Algorithm,Random_Removal,Random_Insertion,1529,0.003741622
eil51.tsp,Christofides_Algorithm,Random_Removal,farthest_insertion,1620,0.004239297
eil51.tsp,Christofides_Algorithm,Worst_Removal,Basic_Insertion,1687,0.004388094
eil51.tsp,Christofides_Algorithm,Worst_Removal,Regret_2_Heuristic,1589,0.004377389
eil51.tsp,Christofides_Algorithm,Worst_Removal,Regret_3_Heuristic,1648,0.004420185
eil51.tsp,Christofides_Algorithm,Worst_Removal,Regret_N_Heuristic,1572,0.004515696
eil51.tsp,Christofides_Algorithm,Worst_Removal,Greedy_Insertion,1652,0.004386616
eil51.tsp,Christofides_Algorithm,Worst_Removal,Best_Insertion,1686,0.004418206
eil51.tsp,Christofides_Algorithm,Worst_Removal,Cheapest_Insertion,1515,0.004375792
eil51.tsp,Christofides_Algorithm,Worst_Removal,Nearest_Insertion,1634,0.004541612
eil51.tsp,Christofides_Algorithm,Worst_Removal,Random_Insertion,1685,0.004042768
eil51.tsp,Christofides_Algorithm,Worst_Removal,farthest_insertion,1365,0.004641891
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Basic_Insertion,1635,0.004296279
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Regret_2_Heuristic,1485,0.00436821
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Regret_3_Heuristic,1793,0.005737996
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Regret_N_Heuristic,1626,0.004380274
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Greedy_Insertion,1469,0.004329896
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Best_Insertion,1675,0.004285479
eil51.tsp,Christofides_Algorithm,Shaw_Removal,Cheapest_Insertion,1305,0.00435698
